Meso,Mun
Mesorregião do Norte Cearense,Baturité
Mesorregião do Norte Cearense,Capistrano
Mesorregião do Norte Cearense,Guaramiranga
Mesorregião do Norte Cearense,Itapiúna
Mesorregião do Norte Cearense,Mulungu
Mesorregião do Norte Cearense,Pacoti
Mesorregião do Norte Cearense,Palmácia
Mesorregião do Norte Cearense,Redenção
Mesorregião do Norte Cearense,Barreira
Mesorregião do Norte Cearense,Chorozinho
Mesorregião do Norte Cearense,Ocara
Mesorregião do Norte Cearense,Beberibe
Mesorregião do Norte Cearense,Cascavel
Mesorregião do Norte Cearense,Pindoretama
Mesorregião Metropolitana de Fortaleza,Aquiraz
Mesorregião Metropolitana de Fortaleza,Caucaia
Mesorregião Metropolitana de Fortaleza,Eusébio
Mesorregião Metropolitana de Fortaleza,Fortaleza
Mesorregião Metropolitana de Fortaleza,Guaiúba
Mesorregião Metropolitana de Fortaleza,Itaitinga
Mesorregião Metropolitana de Fortaleza,Maracanaú
Mesorregião Metropolitana de Fortaleza,Maranguape
Mesorregião Metropolitana de Fortaleza,Pacatuba
Mesorregião Metropolitana de Fortaleza,Horizonte
Mesorregião Metropolitana de Fortaleza,Pacajus
Mesorregião dos Sertões Cearenses,Ararendá
Mesorregião dos Sertões Cearenses,Crateús
Mesorregião dos Sertões Cearenses,Independência
Mesorregião dos Sertões Cearenses,Ipaporanga
Mesorregião dos Sertões Cearenses,Monsenhor Tabosa
Mesorregião dos Sertões Cearenses,Nova Russas
Mesorregião dos Sertões Cearenses,Novo Oriente
Mesorregião dos Sertões Cearenses,Quiterianópolis
Mesorregião dos Sertões Cearenses,Tamboril
Mesorregião dos Sertões Cearenses,Banabuiú
Mesorregião dos Sertões Cearenses,Boa Viagem
Mesorregião dos Sertões Cearenses,Choró
Mesorregião dos Sertões Cearenses,Ibaretama
Mesorregião dos Sertões Cearenses,Madalena
Mesorregião dos Sertões Cearenses,Quixadá
Mesorregião dos Sertões Cearenses,Quixeramobim
Mesorregião dos Sertões Cearenses,Aiuaba
Mesorregião dos Sertões Cearenses,Arneiroz
Mesorregião dos Sertões Cearenses,Catarina
Mesorregião dos Sertões Cearenses,Parambu
Mesorregião dos Sertões Cearenses,Saboeiro
Mesorregião dos Sertões Cearenses,Tauá
Mesorregião dos Sertões Cearenses,Acopiara
Mesorregião dos Sertões Cearenses,Deputado Irapuan Pinheiro
Mesorregião dos Sertões Cearenses,Milhã
Mesorregião dos Sertões Cearenses,Mombaça
Mesorregião dos Sertões Cearenses,Pedra Branca
Mesorregião dos Sertões Cearenses,Piquet Carneiro
Mesorregião dos Sertões Cearenses,Senador Pompeu
Mesorregião dos Sertões Cearenses,Solonópole
Mesorregião do Jaguaribe,Aracati
Mesorregião do Jaguaribe,Fortim
Mesorregião do Jaguaribe,Icapuí
Mesorregião do Jaguaribe,Itaiçaba
Mesorregião do Jaguaribe,Alto Santo
Mesorregião do Jaguaribe,Ibicuitinga
Mesorregião do Jaguaribe,Jaguaruana
Mesorregião do Jaguaribe,Limoeiro do Norte
Mesorregião do Jaguaribe,Morada Nova
Mesorregião do Jaguaribe,Palhano
Mesorregião do Jaguaribe,Quixeré
Mesorregião do Jaguaribe,Russas
Mesorregião do Jaguaribe,São João do Jaguaribe
Mesorregião do Jaguaribe,Tabuleiro do Norte
Mesorregião do Jaguaribe,Jaguaretama
Mesorregião do Jaguaribe,Jaguaribara
Mesorregião do Jaguaribe,Jaguaribe
Mesorregião do Jaguaribe,Ererê
Mesorregião do Jaguaribe,Iracema
Mesorregião do Jaguaribe,Pereiro
Mesorregião do Jaguaribe,Potiretama
Mesorregião do Centro-Sul Cearense,Cedro
Mesorregião do Centro-Sul Cearense,Icó
Mesorregião do Centro-Sul Cearense,Iguatu
Mesorregião do Centro-Sul Cearense,Orós
Mesorregião do Centro-Sul Cearense,Quixelô
Mesorregião do Centro-Sul Cearense,Antonina do Norte
Mesorregião do Centro-Sul Cearense,Cariús
Mesorregião do Centro-Sul Cearense,Jucás
Mesorregião do Centro-Sul Cearense,Tarrafas
Mesorregião do Centro-Sul Cearense,Várzea Alegre
Mesorregião do Centro-Sul Cearense,Baixio
Mesorregião do Centro-Sul Cearense,Ipaumirim
Mesorregião do Centro-Sul Cearense,Lavras da Mangabeira
Mesorregião do Centro-Sul Cearense,Umari
Mesorregião do Sul Cearense,Araripe
Mesorregião do Sul Cearense,Assaré
Mesorregião do Sul Cearense,Campos Sales
Mesorregião do Sul Cearense,Potengi
Mesorregião do Sul Cearense,Salitre
Mesorregião do Sul Cearense,Altaneira
Mesorregião do Sul Cearense,Caririaçu
Mesorregião do Sul Cearense,Farias Brito
Mesorregião do Sul Cearense,Granjeiro
Mesorregião do Sul Cearense,Aurora
Mesorregião do Sul Cearense,Barro
Mesorregião do Sul Cearense,Mauriti
Mesorregião do Sul Cearense,Barbalha
Mesorregião do Sul Cearense,Crato
Mesorregião do Sul Cearense,Jardim
Mesorregião do Sul Cearense,Juazeiro do Norte
Mesorregião do Sul Cearense,Missão Velha
Mesorregião do Sul Cearense,Nova Olinda
Mesorregião do Sul Cearense,Porteiras
Mesorregião do Sul Cearense,Santana do Cariri
Mesorregião do Sul Cearense,Abaiara
Mesorregião do Sul Cearense,Brejo Santo
Mesorregião do Sul Cearense,Jati
Mesorregião do Sul Cearense,Milagres
Mesorregião do Sul Cearense,Penaforte
